song_title,lyrics
Sifting,"Afraid to grade
Wouldn't it be fun?
Cross, self-loss
Wouldn't it be fun?
Wet your bed
Wouldn't it be fun?
Some fear none
Wouldn't it be fun?
Your eyes
Teacher said
Your eyes
Teacher said
Your eyes
Teacher said
Preacher said
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Spell the smell
Wouldn't it be fun?
Search for a church
Wouldn't it be fun?
Wet your bed
Wouldn't it be fun?
Cold and coals
Wouldn't it be fun?
Your eyes
Teacher said
Your eyes
Teacher said
Your eyes
Preacher said
Preacher said
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you
Don't have nothing for you"
Big Cheese,"Big cheese, make me
Mine says, go to the office
Big cheese, make me
Mine says, one that stays
Black is black, straight back
Need more enemies
Show you all what a man is
Big lies make my
Mine says, go to the office
Big cheese, make me
Message, what is it
Black is black, straight back
Need more enemies
She eats glue, how 'bout you?
Big cheese, make me
Mine says, go to the office
Big cheese, make me
Mine says, one that stays
Black is black, straight back
Need more enemies
She eats glue, how 'bout you?
Black is black, straight back
Need more enemies
Show you all what a man is
She eats glue, how 'bout you?
Show you all what a man is"
Downer,"Portray sincerity
Act out of loyalty
Defend your free country
Wish away the pain
Hand out lobotomies
And save little families
Surrealistic fantasy
Bland, boring, plain!
Holy now is restitution
Living out your date with fusion
Is our whole fleece shun in bastard?
Don't feel guilty master writing
Somebody says that they're not much like I am, I know I can
Make enough up the words
As you go along, I sing a song
Sickening pessimist hypocrite master
Conservative Communist apocalyptic bastard
Thank you dear God for putting me on this Earth
I feel very privileged in debt for my thirst!
Holy now is restitution
Living out your date with fusion
Is our whole fleece shun in bastard?
Don't feel guilty master writing
Somebody says that they're not much like I am, I know I can
Make enough up the words
As you go along, I sing a song"
Dive,"Pick me, pick me, yeah
Let a low long signal
At ease, at least, yeah
Everyone is hollow
Pick me, pick me, yeah
Everyone is waiting
Pick me, pick me, yeah
You can even pay them
Hey!
Dive! Dive! Dive!
Dive in me!
Dive! Dive! Dive!
Dive in me!
Dive in me!
Dive in me!
Dive in me!
Kiss this, kiss that, yeah
Let a low long signal
At ease, at ease, yeah
You could be my hero
Pick me, pick me, yeah
Everyone is waiting
Hit me, hit me, yeah
I'm real good at hating
Hey!
Dive! Dive! Dive!
Dive in me!
Dive! Dive! Dive!
Dive in me!
Dive in me!
Dive in me!
Dive in me!
Dive! Dive! Dive!
Dive in me!
Dive! Dive! Dive!
Dive in me!
Dive in me!
Dive in me!
Dive in me!
Dive in me!
Dive in me!
Dive in me!"
Sliver,"When Mom and Dad went to a show
They dropped me off at grandpa Joe's
I kicked and screamed
Said, ""Please, don't go!""
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Had to eat my dinner there
Mashed potatoes and stuff like that
I couldn't chew my meat too good
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
She said, ""Why don't you stop your crying?
Go outside and ride your bike""
That's what I did
I killed my toe!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Well, after dinner I had ice cream
I fell asleep and watched TV
I woke up in my mother's arms
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
Grandma, take me home!
I wanna be alone!"
Stain,"Well he never bleeds and he never fucks
And he never leaves cause he's got bad luck
Well he never reads and he never draws
And he never sleeps cause he's got bad luck, yeah
I'm a stain
I'm a stain
I'm a stain
I'm a stain
Well he never bleeds and he never fucks
And he never leaves cause he's got bad luck
Well he never reads and he never draws
And he never sleeps cause he's got bad luck, yeah
I'm a stain
I'm a stain
I'm a stain
I'm a stain
I'm a stain
I'm a stain
I'm a stain
I'm a stain
Well he never bleeds and he never fucks
And he never leaves cause he's got bad luck
Well he never reads and he never draws
And he never sleeps cause he's got bad luck, yeah
I'm a stain
I'm a stain
I'm a stain
I'm a stain
I'm a stain
I'm a stain
I'm a stain
I'm a stain"
Been A Son,"She should have stayed away from friends
She should have had more time to spend
She should have died when she was born
She should have worn the crown of thorns
She should have - been a son
She should have - been a son
She should have - been a son
She should have - been a son
She should have stood out in the crowd
She should have made her mother proud
She should have fallen on her stance
She should have had another chance
She should have - been a son
She should have - been a son
She should have - been a son
She should have - been a son
She should have - been a son
She should have - been a son
She should have - been a son
She should have - been a son
She should have stayed away from friends
She should have had more time to spend
She should have died when she was born
She should have worn the crown of thorns
She should have - been a son
She should have - been a son
She should have - been a son
She should have - been a son"
Turnaround,"Take a step out on yourself
And you turn around
Take a look at who you are
It's pretty scary
So silly
It is revolting
You're not much
If you're anything!
Yeah
Take a step outside the city
And you turn around
Take a look at what you are
It is revolting
You're really nowhere
So wasteful
So foolish
Poppycock
Who said don't look back?
Don't believe 'em
Go for that crazy sounding restaurant
'Cause they're gonna try and get behind you
Don't you let them do it
You know what I'm talking about?
You hear me talking?
You hear me talking?
It's pretty scary, totally, it's so revolting
It's pretty scary, totally, it's so revolting
It's pretty scary, totally, it's so revolting
It's pretty scary, totally, it's so revolting
Take a step out of the country
And you turn around
Take a look at what you are
It is amazing
Take a good look
You're no big deal
You're so petty
It's a laugh
Take a step outside the planet
Turn around and around
Take a look at where you are
It's pretty scary"
Molly'S Lips,"She said
She'd take me anywhere
She'd take me anywhere
As long as she stays with me
She said
She'd take me anywhere
She'd take me anywhere
As long as I stay clean
Kiss, kiss, Molly's lips
Kiss, kiss, Molly's lips
Kiss, kiss, Molly's lips
Kiss, kiss, Molly's lips
She said
She'd take me anywhere
She'd take me anywhere
As long as she stays with me
She said
She'd take me anywhere
She'd take me anywhere
As long as I stay clean
Kiss, kiss, Molly's lips
Kiss, kiss, Molly's lips
Kiss, kiss, Molly's lips
Kiss, kiss, Molly's lips
She said
She'd take me anywhere
She'd take me anywhere
As long as she stays with me
She said
She'd take me anywhere
She'd take me anywhere
As long as I stay clean
Kiss, kiss, Molly's lips
Kiss, kiss, Molly's lips
Kiss, kiss, Molly's lips
Kiss, kiss, Molly's lips
Kiss, kiss, Molly's lips
Kiss, kiss, Molly's lips
Kiss, kiss, Molly's lips"
Son Of A Gun,"Up, up, up and down
Turn, turn, turn around
Round, round, round about
And over again
Gun, gun, son of a gun
You are the only one
Makes any difference to what I say
The sun shines in the bedroom
When we play
The raining always starts
When you go away
The sun shines in the bedroom
When we play
The raining always starts
When you go away
Up, up, up and down
Turn, turn, turn around
Round, round, round about
And over again
Gun, gun, son of a gun
You are the only one
Makes any difference to what I say
The sun shines in the bedroom
When we play
The raining always starts
When you go away
The sun shines in the bedroom
When we play
The raining always starts
When you go away
Up, up, up and down
Turn, turn, turn around
Round, round, round about
And over again
Gun, gun, son of a gun
You are the only one
Makes any difference to what I say
The sun shines in the bedroom
When we play
The raining always starts
When you go away
The sun shines in the bedroom
When we play
The raining always starts
When you go away
The sun shines in the bedroom
When we play
The raining always starts
When you go away
The sun shines in the bedroom
When we play
The raining always starts
When you go away"
(New Wave) Polly,"Polly wants a cracker
I think I should get off her first
Maybe she wants some water
To put out the blow torch
Isn't me, have a seed
Let me clip, dirty wings
Let me take a ride, cut yourself
Want some help, please myself
Got some rope, have been told
Promise you, heaven true
Let me take a ride, cut yourself
Want some help, please myself
Polly wants a cracker
Maybe she would like some food
Asked me to untie her
A chase would be nice for a few
Isn't me, have a seed
Let me clip, dirty wings
Let me take a ride, cut yourself
Want some help, please myself
Got some rope, have been told
Promise you, have been true
Let me take a ride, cut yourself
Want some help, please myself
Polly said
Polly says her back hurts
She's just as bored as me
She caught me off my guard
Amazes me the will of instinct
Isn't me, have a seed
Let me clip, dirty wings
Let me take a ride, cut yourself
Want some help, please myself
Got some rope, have been told
Promise you, have been true
Let me take a ride, cut yourself
Want some help, please myself"
Beeswax,"I was a seeking out for a funnel
Not only magnets but I could pry bar it shut
Gluing my manhood towards a manhole
Like Pepe LePew the scent
Hey, hey, a lightweight clutch
I got my titillate spayed
I got my titillate spayed
I got my titilate spayed
I got my titillate
(Hydraulic push of) kitty ass button
Tweeking and flexing if the wind blows just right
Tacky and thumbs on polyester
High water jumpsuits and a raped ape
Woody has pix-n-facts
I got my titillate spayed
I got my titillate spayed
I got my titillate spayed
I got my titillate
I don't know why
I've got a joke too silly to say
Don't trust the foams
I got a dick, dick, hear my fucking hate!
I got my titillate spayed
I got my titillate spayed
I got my titillate spayed
I got my titillate
Vinegar and water is gaining monthly
Fiberglass insulation disguised as cotton candy
Spawning down stream, El Rancho Ovulate
Feeding a cow hamburger raw
Peter brought me a tiki idol
Billy's sneer reminds me of someone
Homesick a bay aboard the Love Boat
Toni Tenille, Sonny Bono
Charo had a nice set of lungs
I got my penis spayed
I got a little tail
I got my titillate spayed
I got my titillate spayed
I gotta be around pussy
Don't let me fall
I got a heh-heh well you can't live
I got my titillate spayed
I got my titillate spayed
I got my titillate spayed
I got my titillate spayed
I got my titillate spayed
I got my titillate spayed
I got my titillate"
Downer,"Portray sincerity
Act out of loyalty
Defend your free country
Wish away the pain
Hand out lobotomies
And save little families
Surrealistic fantasy
Bland, boring, plain!
Holy now is restitution
Living out your date with fusion
Is our whole fleece shun in bastard?
Don't feel guilty master writing
Somebody says that they're not much like I am, I know I can
Make enough up the words
As you go along, I sing a song
Sickening pessimist hypocrite master
Conservative Communist apocalyptic bastard
Thank you dear God for putting me on this Earth
I feel very privileged in debt for my thirst!
Holy now is restitution
Living out your date with fusion
Is our whole fleece shun in bastard?
Don't feel guilty master writing
Somebody says that they're not much like I am, I know I can
Make enough up the words
As you go along, I sing a song"
Mexican Seafood,"Ah, the itchy flakes, it is inflaming
To the gels and creams, it is pertaining
To a fungus mold is my injection
Hope it's only a, a yeast infection
Only hurts when I
Hurts when I pee
Oh well, it hurts when I
Hurts when I sing
Now I vomit cum and diarrhea
On the tile floor like oatmeal pizza
With a toilet bowl full of a cloudy pus
I feel my blood becoming chowder rust
Only hurts when I
Hurts when I pee
Oh well, it hurts when I
Hurts when I sing
Roll into my bed, which does consist of
Lice, bugs, and fleas, and yellow mucus
Stained dirt Vaseline, toe jam and booger
Stomach acid worms that dance in sugared sludge"
Hairspray Queen,"I was your mind, you were my, my enemy
You were mine, I was your, your enemy
You would mind, I was your, your enemy
You were mine, I was, was your ene
Ears rang
Your ears rang
I was your mind, you were my, my enemy
You were mine, I was your, your enemy
At night the witch go god
I was your mind, you were my, my enemy
You were mine, I was your, your enemy
You would mind, I was your, your enemy
You were mine, I was, was your ene
At night, wishful goddess
At night, wish the hardest
At night, disco goddess
At night, to itch so modest
At night, the Crisco Loch Ness
At right, the mouthful omelet
At sight, the fishful goblets
At night, the witch go god"
Aero Zeppelin,"What's a season in a right, if you can't have anything?
What's the reason in a rhyme, if a plan means anything?
What's the meaning in a crime? It's a fan if anything
Where's the meaning in a line? It's a brand, it's a brand
How a culture comes again, it's a plan of yesterday
And you swear it's not a trend, doesn't matter anyway
They're only here to talk to friends, nothing new is everyday
You could shit upon the stage, they'll be fans
They'll be fans, they'll be fans
They'll be fans
All the kids will eat it up, if it's packaged properly!
Steal a sound and imitate, keep a format equally
Not an ode, just the facts, where our world is nowadays
An idea is what we lack, it doesn't matter anyways!
All the kids will eat it up, if it's packaged properly
Steal a sound and imitate, keep a format equally
Not an ode, just the facts, where our world is nowadays
An idea is what we lack, it doesn't matter anyways!
Hey
Hey
Hey
Hey
Hey
Hey"
Big Long Now,"It's not cold enough
Please put this end up
She is moving through
Can we show our faces now?
I'm not interesting
She's not turning green
Shameful as it seems
Can we show our faces now?
Endless climb
I am blind
Why can't I hear?
Color blind
Speaking a phrase
Instantly grown
I am blind
Waiting in line
It's not cold enough
Please put this side up
She is moving through
Can we show our faces now?
I'm not interesting
She's not turning green
Shameful as it seems
Can we show our faces now?
Endless climb
I am blind
Why can't I hear?
Color blind
Speaking a phrase
Instantly grown
I am blind
Why am I sure?"
Aneurysm,"Come on over, do the twist, ah-ha
Overdo it and have a fit, ah-ha
Love you so much, it makes me sick, ah-ha
Come on over and do the twist, ah-ha
Beat me out of me (Beat it, beat it)
Beat me out of me (Beat it, beat it)
Beat me out of me (Beat it, beat it)
Beat me out of me (Beat it, beat it)
Beat me out of me (Beat it, beat it)
Beat me out of me (Beat it, beat it)
Beat me out of me (Beat it, beat it)
Beat me out of me
Come on over, do the twist, ah-ha
Overdo it and have a fit, ah-ha
Love you so much, it makes me sick, ah-ha
Come on over and shoot the shit, ah-ha
Beat me out of me (Beat it, beat it)
Beat me out of me (Beat it, beat it)
Beat me out of me (Beat it, beat it)
Beat me out of me (Beat it, beat it)
Beat me out of me (Beat it, beat it)
Beat me out of me (Beat it, beat it)
Beat me out of me (Beat it, beat it)
Beat me out of me
She keeps it pumpin' straight to my heart
She keeps it pumpin' straight to my heart
She keeps it pumpin' straight to my heart
She keeps it pumpin' straight to my heart
She keeps it pumpin' straight to my heart
She keeps it pumpin' straight to my heart
She keeps it pumpin' straight to my heart
She keeps it pumpin' straight to my heart"
Polly,"Polly wants a cracker
I think I should get off her first
I think she wants some water
To put out the blow torch
Isn't me, have a seed
Let me clip dirty wings
Let me take a ride, cut yourself
Want some help, please myself
Got some rope, haven't told
Promise you, haven't true
Let me take a ride, cut yourself
Want some help, please myself
Polly wants a cracker
Maybe she would like some food
She asked me to untie her
A chase would be nice for a few
Isn't me, have a seed
Let me clip dirty wings
Let me take a ride, cut yourself
Want some help, please myself
Got some rope, haven't told
Promise you, haven't true
Let me take a ride, cut yourself
Want some help, please myself
Polly said
Polly says her back hurts
She's just as bored as me
She caught me off my guard
Amazes me, the will of instinct
Isn't me, have a seed
Let me clip dirty wings
Let me take a ride, cut yourself
Want some help, please myself
Got some rope, haven't told
Promise you, haven't true
Let me take a ride, cut yourself
Want some help, please myself"
Pennyroyal Tea,"I'm on my time with everyone
I have very bad posture
Sit and drink Pennyroyal Tea
Distill the life that's inside of me
Sit and drink Pennyroyal Tea
I'm anemic royalty
Give me a Leonard Cohen afterworld
So I can sigh eternally
I'm so tired I can't sleep
I'm a liar and a thief
Sit and drink Pennyroyal Tea
I'm anemic royalty
I'm on warm milk and laxatives
Cherry-flavored antacids
Sit and drink Pennyroyal Tea
Distill the life that's inside of me
Sit and drink Pennyroyal Tea
I'm anemic royalty"
Frances Farmer Will Have Her Revenge On Seattle,"It's so relieving to know that you're leaving
As soon as you get paid
It's so relaxing to hear that you're asking
Whenever you get your way
It's so soothing to know that you'll sue me
Starting to sound the same
I miss the comfort in being sad
I miss the comfort in being sad
I miss the comfort in being sad
In her false witness, hope you're still with us
To see if they float or drown
Our favorite patient, a display of patience
Disease-covered Puget Sound
She'll come back as fire to burn all the liars
Leave a blanket of ash on the ground
I miss the comfort in being sad
I miss the comfort in being sad
I miss the comfort in being sad
It's so relieving to know that you're leaving
As soon as you get paid
It's so relaxing to know that you're asking
Wherever you get your way
It's so soothing to know that you'll sue me
It's starting to sound the same
I miss the comfort in being sad
I miss the comfort in being sad
I miss the comfort in being sad"
On A Plain,"I'll start this off without any words
I got so high, I scratched till I bled
I love myself better than you
I know it's wrong so what should I do?
The finest day that I've ever had
Was when I learned to cry on command
Love myself better than you
I know it's wrong so what should I do? (Ooh, ooh)
I'm on a plain (Ooh, ooh)
I can't complain (Ooh, ooh)
I'm on a plain (Ooh, ooh)
My mother died every night
It's safe to say, don't quote me on that
I love myself better than you
I know it's wrong so what should I do?
The black sheep got blackmailed again
Forgot to put on the zip code
Love myself better than you
I know it's wrong so what should I do? (Ooh, ooh)
I'm on a plain (Ooh, ooh)
I can't complain (Ooh, ooh)
I'm on a plain (Ooh, ooh)
Somewhere I have heard this before
In a dream my memory has stored
As a defense I'm neutered and spayed
What the hell am I trying to say?
It is now time to make it unclear
To write off lines that don't make sense
Love myself better than you
I know it's wrong so what should I do?
And one more special message to go
And then I'm done and I can go home
Love myself better than you
I know it's wrong so what should I do? (Ooh, ooh)
I'm on a plain (Ooh, ooh)
I can't complain (Ooh, ooh)
I'm on a plain (Ooh, ooh)
I can't complain (Ooh, ooh)
I'm on a plain (Ooh, ooh)
I can't complain (Ooh, ooh)
I'm on a plain (Ooh, ooh)
I can't complain (Ooh, ooh)
I'm on a plain (Ooh, ooh)
(Ooh, ooh)"
Dumb,"I'm not like them
But I can pretend
The sun is gone
But I have a light
The day is done
But I'm having fun
I think I'm dumb
Or maybe just happy
Think I'm just happy
Think I'm just happy
Think I'm just happy
My heart is broke
But I have some glue
Help me inhale
And mend it with you
We'll float around
And hang out on clouds
Then we'll come down
And have a hangover
Have a hangover
Have a hangover
Have a hangover
Skin the sun, fall asleep
Wish away, the soul is cheap
Lesson learned, wish me luck
Soothing burn, wake me up
I'm not like them
But I can pretend
The sun is gone
But I have a light
The day is done
But I'm having fun
I think I'm dumb
Or maybe just happy
Think I'm just happy
Think I'm just happy
Think I'm just happy
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb"
All Apologies,"What else should I be? All apologies
What else could I say? Everyone is gay
What else could I write? I don't have the right
What else should I be? All apologies
In the sun, in the sun, I feel as one
In the sun, in the sun
Married, buried
I wish I was like you, easily amused
Find my nest to salt, everything's my fault
I'll take all the blame, aqua seafoam shame
Sunburn, freezer burn, choking on the ashes of her enemy
In the sun, in the sun, I feel as one
In the sun, in the sun
Married, buried
Married, buried
Yeah, yeah, yeah, yeah
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are"
Very Ape,"I am buried up to my neck in
Contradictionary flies
I take pride as the king of illiterature
I'm very ape and very nice
If you ever need anything please don't
Hesitate to ask someone else first
I'm too busy acting like I'm not naïve
I've seen it all, I was here first
Out of the ground
Into the sky
Out of the sky
Into the dirt
If you ever need anything please don't
Hesitate to ask someone else first
I'm too busy acting like I'm not naïve
I've seen it all, I was here first
Out of the ground
Into the sky
Out of the sky
Into the ground
Out of the ground
Into the sky
Out of the sky
Into the dirt"
Serve The Servants,"Teenage angst has paid off well
Now, I'm bored and old
Self-appointed judges judge
More than they have sold
If she floats then she is not
A witch like we've thought
A downpayment on another
One at Salem's lot
Serve the servants, oh no
Serve the servants, oh no
Serve the servants, oh no
Serve the servants
That legendary divorce is such a bore
As my bones grew they did hurt
They hurt really bad
I tried hard to have a father
But instead, I had a dad
I just want you to know that I
Don't hate you anymore
There is nothing I could say
That I haven't thought before
Serve the servants, oh no
Serve the servants, oh no
Serve the servants, oh no
Serve the servants
That legendary divorce is such a bore
Serve the servants, oh no
Serve the servants, oh no
Serve the servants, oh no
Serve the servants, oh no
Serve the servants, oh no
Serve the servants, oh no
Serve the servants, oh no
Serve the servants
That legendary divorce is such a bore"
