song_title,lyrics
I Wonder If I Care as Much,"I wonder if I care as much As I did before Last night I cried myself to sleep for the one that makes me weep I dried my eyes to greet the day and wondered why I had to pay The tears that I have shed by day give relief and wash away The memory of the night before, I wonder if I'll suffer more I wonder if I care as much As I did before My pride is made to say forgive and take the blame for what you did It's your mistakes I'm thinkin' of, I wonder if I'm still in love My heart can't thrive on misery, my life it has no destiny When things get more than I can bear, I ask myself ""Do I still care?"" I wonder if I care as much As I did before"
If You Could Read My Mind,"If you could read my mind love What a tale my thoughts could tell Just like an old time movie 'Bout a ghost from a wishing well In a castle dark or a fortress strong With chains upon my feet You know that ghost is me And I will never be set free As long as I'm a ghost that you can't see If I could read your mind love What a tale your thoughts could tell Just like a paperback novel The kind the drugstores sell When you reach the part where the heartaches come The hero would be me But heroes often fail And you won't read that book again Because the ending's just too hard to take I'd walk away like a movie star Who gets burned in a three-way script Enter number two A movie queen to play the scene Of bringing all the good things out in me But for now love, let's be real I never thought I could feel this way And I've got to say that I just don't get it I don't know where we went wrong But the feeling's gone and I just can't get it back If you could read my mind love What a tale my thoughts could tell Just like an old time movie 'Bout a ghost from a wishing well In a castle dark or a fortress strong With chains upon my feet But stories always end And if you read between the lines You'll find that I'm just trying to understand The feelings that you lack I never thought I could feel this way And I've got to say that I just don't get it I don't know where we went wrong But the feeling's gone and I just can't get it back"
My Hometown,"I was eight years old and running with a dime in my hand Into the bus stop to pick up a paper for my old man I'd sit on his lap in that big old Buick and steer as we drove through town He'd tousle my hair and say ""Son, take a good look around"" ""This is your hometown, this is your hometown This is your hometown, this is your hometown In '65 tension was running high at my high school There was lots of fights 'tween blacks and whites, there was nothing you could do Two cars at a light on a Saturday night, in the back seat there was a gun Words were passed, in a shotgun blast and troubled times had come To my hometown, my hometown My hometown, mo my hometown Now Main Street's whitewashed windows and vacant stores Seems like there ain't nobody wants to come down here no more They're closing down the textile mill across the railroad track Foreman says ""These jobs are going, boys, and they ain't coming back"" ""To your hometown, your hometown Your hometown, your hometown"" Last night me and Kate laid in bed talkin' about getting out Packing up our bags and maybe heading south I'm thirty-five, we got a boy of our own now Last night I sat him up behind the wheel and said, ""Son take a good look around This is your hometown"""
Needle of Death,"When sadness fills your heart Sorrow hides the longing to be free When things go wrong with each day You fix your mind to escape your misery Your troubled young life Had made you turn To the needle of death How strange, your happy words Have ceased to bring a smile from everyone How tears have filled the eyes Of friends that you once walked among Your troubled young life Had made you turn To the needle of death One grain of pure white snow Dissolved in blood spread quickly to your brain In peace your mind withdraws Your death so near your soul can't feel no pain Your troubled young life Has made you turn To the needle of death Your mother stands a-cryin' While to the earth your body's slowly cast Your father stands in silence Caressing every young dream of the past And your troubled young life Had made you turn To the needle of death Through ages, man's desires To free his mind, to releive his very soul Has proved to all who live That death itself is freedom for evermore And your troubled young life Might make you turn To the needle of death And your troubled young life Had make you turn To the needle of death"
On the Road Again,On the road again Just can't wait to get on the road again The life I love is making music with my friends Now I just can't wait to get on the road again On the road again Goin' places that I've never been Seein' things I may never see again And I just can't wait to get on the road again On the road again Like a band of gypsies we go down the highway We're the best of friends Insisting that the world keep turning our way And our way Is on the road again I just can't wait to get on the road again The life I love is makin' music with my friends I just can't wait to get on the road again On the road again Goin' places I've never been Seein' things I may never see again Like a band of gypsies we go down the highway I just can't wait to get on the road again That was good. That was a funky one. (Yeah yeah yeah)
Since I Met You Baby,"Since I met you baby my whole life has changed Since I met you baby my whole life has changed And my friends all tell me that I am not the same I don't need nobody to tell my troubles to Well, I don't need nobody to tell my troubles to 'Cause since I met you baby all I need is you Since I met you baby I'm a happy man Yeah, since I met you baby I'm a happy man I'm gonna try to please you in every way I can"
After the Gold Rush,"Well I dreamed I saw the knights in armor comin' Sayin' something about a queen There were peasants singin' and drummers drummin' And the archer split the tree There was a fanfare blowin' to the sun That was floating on the breeze Look at Mother Nature on the run In the 1970s Look at Mother Nature on the run In the 1970s I was lyin' in a burned out basement With the full moon in my eyes I was hopin' for replacement When the sun burst through the sky There was a band playin' in my head And I felt like getting high I was thinkin' about what a friend had said I was hopin' it was a lie Thinkin' about what a friend had said I was hopin' it was a lie Well, I dreamed I saw the silver space ships flyin' In the yellow haze of the sun There were children cryin' and colors flyin' All around the chosen ones All in a dream, all in a dream The loadin' had begun Flying Mother Nature's silver seed To a new home in the sun Flying Mother Nature's silver seed To a new home"
Birds,"Lover, there will be another one Who'll hover over you beneath the sun Tomorrow, see the things that never come today When you see me fly away without you Shadow on the things you know Feathers fall around you And show you the way to go It's over, it's over Nestled in your wings, my little one Is special, morning brings another sun Tomorrow, see the things that never come today When you see me fly away without you Shadow on the things you know Feathers fall around you And show you the way to go It's over, it's over, oh"
Cripple Creek Ferry,"Hey, hey, Cripple Creek Ferry Butting through the overhanging trees Make way for the Cripple Creek ferry The waters going down, it's a mighty tight squeeze All alone the captain stands Hasn't heard from his deck hands The gambler tips his hat And walks towards the door It's the second half of the cruise And you know he hates to lose Hey, hey, Cripple Creek Ferry Butting through the overhanging trees Make way for the Cripple Creek ferry The waters going down, it's a mighty tight squeeze"
Don't Let It Bring You Down,Old man lying by the side of the road With the lorries rolling by Blue moon sinking from the weight of the load And the buildings scrape the sky Cold wind ripping down the alley at dawn And the morning paper flies Dead man lying by the side of the road With the daylight in his eyes Don't let it bring you down It's only castles burning Find someone who's turning And you will come around Blind man running through the light of the night With an answer in his hand Come on down to the river of sight And you can really understand Red lights flashing through the window in the rain Can you hear the sirens moan? White cane lying in a gutter in the lane If you're walking home alone Don't let it bring you down It's only castles burning Find someone who's turning And you will come around Don't let it bring you down It's only castles burning Just find someone who's turning And you will come around Don't let it bring you down It's only castles burning Just find someone who's turning And you will come around
I Believe in You,"Now that you've found yourself losing your mind Are you here again? Finding that what you once thought was real Is gone and changing Now that you made yourself love me Do you think I can change it in a day? How can I place you above me? Am I lying to you when I say That I believe in you? Oh oh, oh oh, oh oh I believe in you Coming to you at night, I see my questions I feel my doubts Wishing that maybe in a year or two we could laugh And let it all out Now that you made yourself love me Do you think I can change it in a day? How can I place you above me? Am I lying to you when I say That I believe in you? Oh oh, ooh ooh, oh oh I believe in you Oh oh, oh oh, oh oh I believe in you"
"Oh, Lonesome Me","Everybody's going out and having fun I'm a fool for staying home and having none I can't get over how she set me free Oh, lonesome me There must be some way that I can lose these lonesome blues Forget about the past, find someone new I've thought of everything from A to Z Oh, lonesome me I'll bet she's not like me She's out and fancy free Flirting with the boys with all her charms But I still love her so And brother, don't you know I'd welcome her right back here in my arms There must be some way that I can lose these lonesome blues Forget about my past, find someone new I can't get over how she set me free Oh, lonesome me"
Southern Man,"Southern man better keep your head Don't forget what your good book said Southern change gonna come at last Now your crosses are burning fast Southern man I saw cotton and I saw black Tall white mansions and little shacks Southern man, when will you pay them back? I heard screaming and bullwhips cracking How long? How long? (Ah) Southern man better keep your head Don't forget what your good book says Southern change gonna come at last Now your crosses are burning fast Southern man Lily Belle, your hair is golden brown I've seen your black man coming 'round Swear by God, I'm gonna cut him down! I heard screaming and bullwhips cracking How long? How long? (Ah)"
Tell Me Why,"Sailin' heart ships through broken harbors Out on the waves in the night Still the searcher must ride the dark horse Racing alone in his fright Tell me why Tell me why Is it hard to make arrangements with yourself When you're old enough to repay But young enough to sell? Tell me lies later, come and see me I'll be around for a while I am lonely but you can free me All in the way that you smile Tell me why Tell me why Is it hard to make arrangements with yourself When you're old enough to repay But young enough to sell? Tell me why Tell me why Is it hard to make arrangements with yourself When you're old enough to repay But young enough to sell?"
Till the Morning Comes,I'm gonna give you 'til the morning comes 'Til the morning comes 'Til the morning comes I'm only waiting 'til the morning comes 'Til the morning comes 'Til the morning comes I'm gonna give you 'til the morning comes 'Til the morning comes 'Til the morning comes I'm only waiting 'til the morning comes 'Til the morning comes 'Til the morning comes
After the Storm,After the clouds disappear After the rainbow has gone I'm left with a song in my ear The melody is lingering on How come I have to explain Music is worth all the pain After the rain washes down After all the fog burns away Will I see the sun coming 'round? Closer and closer each day How come I have to explain People are worth all the pain I just want to see the love in your eyes After the storm has passed you and gone When you're dreaming of how it can be It doesn't work to pretend Let me tell you what happened to me Just to get to the end I needed a friend After the rainbow had gone It's so sad losing a friend But the memories are lingering on How come I have to explain Children are worth all the pain I just want to see the love in your eyes After the storm has passed you and gone I just want to see the love in your eyes After the storm has passed you and gone
Bad Boyz,Have you been watchin' the bad boyz Hangin' around the schoolyard? Has anyone tried to figure out How it is they got so bitter and hard Does anyone have the faintest idea How we gonna explain Life to them so far They can't hang out on the street They can't hang out with the boyz Unless they're packin' heat And ready to make some noise like the bad boyz Have you been watchin' the hatred Growing every day between the children? Have you been watchin' the races On each other's cases and all suspicious? Somebody's always in your face It's almost like bein' raped You're so defenseless You can't hang out on the street You can't hang out with the boyz Unless you're packin' heat Ready to make some noise like the bad boyz Hope you get there in time Lose 'em all down the line Way down yonder on the plantation Today it's called the 'hood and everyone's restless They feel deserted and abandoned They do the best they can but life is ruthless If ya never did care about your neighbor Cuz their frightening behavior Get through to ya Don't ya see they can't hang out on the street They can't hang out with the boyz Unless they're packin' heat Ready to make some noise they're the bad boyz They can't hang out on the street They can't hang out with the boyz Unless they're packin' heat Ready to make some noise they're the bad boyz They're the bad boyz
Camera,"I rode my bike to town today Wobbling down the path I knew the kids would see me I love it when they laugh And I wish I were a camera And I could slice time like a knife Seeing stories in the faces And crystallizing life Wish I were a camera I wish it all the time It gives my eyes a reason It gives my life a rhyme I'd be a lens that could see souls A shutter that never shuts I'd have film that lasts forever I would live in huts In the jungles of South America Like my father before the war I'd find out where we came from And what this life is for And I wish I were a camera I wish it all the time It gives my eyes a reason It gives my life a rhyme I wish I were a camera I wish it all the time It gives my eyes a reason It gives my life a rhyme And I would climb right off this planet On the clearest night of all And photograph the future When it finally comes to call I would save up all these images These instants in a box And when I am old and lonely They could cover up the clocks And I wish I were a camera I wish it all the time It gives my eyes a reason It gives my life a rhyme I wish that I could shoot at night And leave without a trace And catch my lover's sleeping smile By the starlight on her face But I think mostly that I'd see children 'Cause they haven't learned to hide And they watch me on my bicycle And laugh with me as I ride While I ride, while I ride While I ride, while I ride ..."
Find a Dream,"Life is uncertain, life is unknown Life is a shot in the dark Life is a curtain, always unfolding Life is an ember and a spark Don't be a fool Stay around for a long time Try and find a dream Time avoids no one, time is unkind Time is a cut to the bone Time to take care of, time to unwind Time is a gift not a loan Don't be a fool Stay around for a long time Try and find a dream People are endless, people are strangers People are taken to be friends People are nervous, always in danger People are bound to make amends Don't be a fool Stay around for a long time Try and find a dream"
In My Life,There are places I remember All my life though some have changed Some forever not for better Some have gone and some remain All these places have their moments With lovers and friends I still can recall Some are dead and some are living In my life I've loved them all But of all these friends and lovers There is no one compares with you And these memories lose their meaning When I think of love as something new And I know I'll never ever lose affection For people and things that went before And I know I'll often stop and think about them In my life I've loved you more In my life I've loved you more
It Won't Go Away,"Don't you get tired Of listening to the cover up Sounds like a broken old record When the needle gets stuck You got your media honeys Using their TV voice Tellin' you what you done decided As if you had any choice And didn't they cry And worry 'bout people of color And didn't they mostly turn away Keep us afraid of each other And you know it's a lie It ain't about people of color The American Dream betrayed And all of us feel the same rage And it won't go away Isn't it strange Ain't it a mystery How did he get it in his head Somehow he could speak for me Hey, if what he's been a' saying Is actually what he believes Then one of us surely is a fool And you know that he thinks that it's me And didn't they cry And worry 'bout people of color And didn't they mostly turn away Keep us afraid of each other And you know it's a lie It ain't about people of color The American Dream betrayed And all of us feel the same rage And it won't go away Somebody wants us divided Someone of evil intent Trying to confuse and control The minds of the innocent And isn't it time Good people have got to speak up And you'll know exactly what to say When you've finally had enough Don't you go try And blame it on people of color And don't you dare turn away Keep us afraid of each other Cause you know it's a lie It ain't about people of color The American Dream betrayed And all of us feel the same rage And it won't go away Won't go away Won't go away Won't go away"
Only Waiting for You,"I cannot remember feeling quite so self assured It must have been back in my teens I was such a basket case when I was young It's obviously something that I dreamed I have always been a most reclusive kind of guy When love's around I usually run and hide Don't you go believin' I was ever that confused I was really only waiting for you Really only waiting for you And what do you suppose that we can do Anything whatever that you want to last forever Really only waiting for you And I cannot escape the over-whelming feeling Destiny has taken us in hand And nothing that we do is gonna change The way this love affair is never gonna end And I know it's hard getting used to the idea That your lover wants to be your best friend With a showing of affection and a measure of romance This is really only waiting for you Really only waiting for you And what do you suppose that we can do Anything whatever that you want to last forever Really only waiting for you Waiting, waiting, only waiting for you Waiting, waiting, only waiting for you I've been living by myself I do not want for someone else At least that's what I like to say And it was working till the other day I met you And I fell in love from twenty yards away I've got one last truly great love left in my life And my heart is tellin' me it might be you So forget your disappointments I'll forget about my past I was really only waiting for you Really only waiting for you And what do you suppose that we can do Anything whatever that you want to last forever Really only waiting for you Really only waiting for you And what do you suppose that we can do Anything whatever that you want to last forever"
Panama,"Have you seen Panama Where I first fell in love It will forever be an emerald necklace Set between the seas Beside a crystal stream In the mountains of Chiriqui I saw a girl astride a horse she waved at me I was fifteen I was not a child I was not yet a man I was trying very hard to understand Indifferent to the dangers of living in a foreign land Was I falling in love or under the spell Of Panama? Went riding off alone Much further than I should have gone I wandered deep into the dark Now which way gets me home Then suddenly there she was All covered with leaves and dust I couldn't believe it but she followed me Now both of us were lost I was not a child I was not yet a man I was trying very hard to understand Indifferent to the dangers of living in a foreign land Was I falling in love or under the spell Of Panama? The clouds began to rumble We found a dry piece of jungle I don't remember if It rained But I remember making love So clearly I recall The magic of Panama And surely never will it let me go Yo Soy Panameno I was not a child I was not yet a man I was trying very hard to understand Indifferent to the dangers of living in a foreign land Was I falling in love or under the spell Of Panama? La, la, la, la, la La, la, la, la, la ..."
Street to Lean On,"Bag lady's complainin' To the cop on the beat She says she's got nowhere to go She got nothin' to eat Cop says, ""Lady, have you considered A life of crime? You know you can eat real good When you're doin' time"" And she has got no galleria She's got no mall All she's got is the street to lean on And the gutter when she falls, yeah Do you see them gang bangers? They gonna have a fight You know they gonna knock somebody's teeth out Maybe put out somebody's lights We're gonna have to bust 'em Put 'em all away in jail You know it's the nineteenth time this month Ain't gonna be no bail And they have got no galleria They got no mall All they got is the street to lean on And the gutter when they fall Fat lady with the wig on She's down here buyin' antiques She says ""Can't you control these kids? They're actin' like a bunch of freaks"" And the kids are givin' her the finger They re talkin 'bout takin' her purse And the street keeps gettin' hotter The traffic keeps gettin' worse And they have got no galleria They got no mall All they got is the street to lean on And the gutter when they fall, yeah Do you see that politician? Don't he look sincere You know he will promise you anything As long as he's down here But he's gonna go home to the valley To his house and lawn And we will still be here When he is gone And we have got no galleria We got no mall All we got is the street to lean on And the gutter when we fall, yeah We got is the street to lean on And the gutter"
These Empty Days,"There are things that I forgot to say As you rushed out of the door And they're all coming back To haunt me like before There are things I wish I would have said Before I lost you from my life As my thoughts are coming back They cut me like a knife I can't deal with it I can't bear to feel this way I can't deal with it I can 't fill these empty days I can't deal with it I can't bear to feel this way I can't deal with it I can't fill these empty days Oh, I wish I could have told you The words to make you stay 'Cause it will take a million years To fill these empty days These empty days These empty days These empty days"
Till It Shines,"What does it take to getcha To admit it? How much light Till it shines on you, yeah? How much did she betcha You couldn't get it? What does it signify When it lands on you? They will tell you you're a loser They'll stone you in the streets Makes you kinda wonder 'bout the people you meet, yeah Oh, oh, oh Oh, oh, oh, oh, oh Mmm ... There's a telegram they send ya To tell you that you won And that now your life is gonna Suddenly be fun It's a piece of empty paper It's a piece of empty pie It's a vision of illusion It will surely pass you by And I don't know what to tell ya I haven't got a clue I don't know why people do the things that they do, no Mmm ... Oh, oh, oh, oh, oh What does it take to getcha As confused as me? And how much information Is gonna finally set you free? What does it take to getcha To admit it? How much light Shines on you, yeah? How much light Is gonna shine on you? How much light Shines on you?"
